INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:14:32,371 "GET /accounts/login/ HTTP/1.1" 200 12913
INFO 2024-09-05 10:14:32,470 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:14:32,470 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:14:32,471 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:14:32,476 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:14:32,479 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:14:32,479 "GET /static/js/library.js HTTP/1.1" 200 2656
WARNING 2024-09-05 10:14:32,480 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:14:32,480 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:14:32,695 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:14:32,940 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:14:33,161 "GET /accounts/login/ HTTP/1.1" 200 12920
INFO 2024-09-05 10:14:33,232 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:14:33,233 "GET /static/css/styles.css HTTP/1.1" 200 4999
INFO 2024-09-05 10:14:33,234 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:14:33,235 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:14:33,236 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:14:33,240 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:14:33,240 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:14:33,240 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:14:33,437 "GET /static/js/module.js HTTP/1.1" 200 445
